id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,TotalNN,MR_SumNN,MR_Avg_NN,MR_Avg_NN_2010,DR_SumNN,DR_Avg_NN,DR_Avg_NN_2010,HR_SumNN,HR_Avg_NN,HR_Avg_NN_2010
5614,4891,4805,I,AMHERST,MA,"AMHERST,MA",PVPC,0,,18122.3416652,12081655.8026,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5615,4892,4806,I,AMHERST,MA,"AMHERST,MA",PVPC,0,,7005.45217997,2492632.04541,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5525,4893,4887,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,5049.87063612,534607.199211,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5623,4894,4808,I,GRANBY,MA,"GRANBY,MA",PVPC,0,,25133.6997287,22697959.3095,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5624,4895,4809,I,BELCHERTOWN,MA,"BELCHERTOWN,MA",PVPC,0,,25883.5468112,18736838.1804,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5246,4896,4810,I,GRANBY,MA,"GRANBY,MA",PVPC,0,,18813.0896279,14036427.483,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5251,4897,4828,I,HOLYOKE,MA,"HOLYOKE,MA",PVPC,0,,8591.45338151,2765100.27736,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5562,4898,4888,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,1703.42997126,189056.44826,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5627,4899,4811,I,GRANBY,MA,"GRANBY,MA",PVPC,0,,16203.7572752,9010355.41942,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5570,4900,5052,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,2887.69181054,333895.2996,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5248,4901,4813,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0,,14143.6143609,5246280.96485,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5628,4902,4814,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0,,6410.40801885,999495.565139,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5626,4903,4815,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0,,21868.3985129,15170646.3943,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5336,4904,4816,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0,,15186.8936693,7086180.42699,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5524,4905,4889,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,3394.83547907,251332.762531,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5277,4906,4817,I,HOLYOKE,MA,"HOLYOKE,MA",PVPC,0,,24764.602327,17519094.1746,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5256,4907,4831,I,WEST SPRINGFIELD,MA,"WEST SPRINGFIELD,MA",PVPC,0,,6541.77907972,1829534.0771,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5552,4908,4890,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,2183.01818832,252259.017183,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5573,4909,5053,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,1534.10416806,121350.177906,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5295,4910,4818,I,HOLYOKE,MA,"HOLYOKE,MA",PVPC,0,,22374.2285182,11953017.4167,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5320,4911,4819,I,EASTHAMPTON,MA,"EASTHAMPTON,MA",PVPC,0,,18133.8059415,7260543.18017,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
