id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,WeightSum,WeightxHRSum,WeightxDRSum,WeightxMRSum,Weighted_Average_HR,Weighted_Average_DR,Weighted_Average_MR,Weighted_Average_MR_2010,Weighted_Average_DR_2010,Weighted_Average_HR_2010
5591,5117,5061,I,CHICOPEE,MA,"CHICOPEE,MA",PVPC,0,,2880.50111244,289954.115058,135.93682859149538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5592,5118,5062,I,CHICOPEE,MA,"CHICOPEE,MA",PVPC,0,,4032.60295141,623817.552155,135.3829339565109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5593,5119,5063,I,CHICOPEE,MA,"CHICOPEE,MA",PVPC,0,,2227.22771267,286680.056226,136.27394827938951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5602,5120,5064,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,3760.82218918,731188.187957,137.7997434516383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5603,5121,5065,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,3010.76825755,375114.845283,136.7875324489103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5605,5122,5067,I,LUDLOW,MA,"LUDLOW,MA",PVPC,0,,8800.94530775,2297560.66441,134.40168216360553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5606,5123,5068,I,LUDLOW,MA,"LUDLOW,MA",PVPC,0,,10069.1795151,2300580.74767,134.04761910064673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5607,5124,5069,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,4771.5075793,643585.761901,135.24510333060718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2753,5125,5118,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,3750.10861368,779625.27814,117.14722550287127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5609,5126,5070,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,3690.33663893,761887.073964,135.35780601826292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5610,5127,5071,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,3504.3748043,427476.911089,135.1976756434685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209075,5128,5072,E,SOMERS,CT,"SOMERS,CT",,0,,3721.71992079,627388.028995,137.97303910484985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209076,5129,5073,E,SOMERS,CT,"SOMERS,CT",,0,,3829.70910261,694021.606564,137.5860075706527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5620,5130,5074,I,AMHERST,MA,"AMHERST,MA",PVPC,0,,6926.68795635,1573146.94462,124.15582185251824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5644,5131,5082,I,AMHERST,MA,"AMHERST,MA",PVPC,0,,3990.13181329,553393.232163,122.76803369768231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5625,5132,5075,I,AMHERST,MA,"AMHERST,MA",PVPC,0,,9037.34305759,2249134.05369,125.677651295105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5629,5133,5076,I,SOUTH HADLEY,MA,"SOUTH HADLEY,MA",PVPC,0,,5502.71264872,1213585.25788,131.6284351922747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5828,5134,5099,I,MONTAGUE,MA,"MONTAGUE,MA",FRCOG,0,,5397.99802475,1337598.80413,125.0465180401127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5635,5135,5077,I,AMHERST,MA,"AMHERST,MA",PVPC,0,,3795.70628092,701060.758756,126.7514907243854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5636,5136,5078,I,AMHERST,MA,"AMHERST,MA",PVPC,0,,4215.6573154,522227.862233,122.56748408649213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5639,5137,5079,I,AMHERST,MA,"AMHERST,MA",PVPC,0,,6839.08014103,1203855.23364,123.0949725496492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5844,5138,5080,I,SUNDERLAND,MA,"SUNDERLAND,MA",FRCOG,0,,14158.596492,7848910.53503,120.97912803909057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5643,5139,5081,I,AMHERST,MA,"AMHERST,MA",PVPC,0,,4106.41122983,1013114.39385,122.9758328598349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5851,5140,5100,I,GREENFIELD,MA,"GREENFIELD,MA",FRCOG,0,,4174.14888473,949742.395359,125.19989669152886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5645,5141,5083,I,AMHERST,MA,"AMHERST,MA",PVPC,0,,4904.62428258,1051175.59093,122.3038084597759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5646,5142,5084,I,AMHERST,MA,"AMHERST,MA",PVPC,0,,3326.93374458,435545.82868,123.37485454575864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5647,5143,5085,I,AMHERST,MA,"AMHERST,MA",PVPC,0,,5974.24673306,1858170.05906,125.1766453883547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5804,5144,5101,I,GREENFIELD,MA,"GREENFIELD,MA",FRCOG,0,,2899.55468941,342193.060239,124.3912952103005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5805,5145,5086,I,GREENFIELD,MA,"GREENFIELD,MA",FRCOG,0,,8779.74053345,3297498.94729,122.95253481824884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5850,5146,5087,I,GREENFIELD,MA,"GREENFIELD,MA",FRCOG,0,,8140.60913052,2251970.38335,123.24057994644372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5803,5147,5108,I,GREENFIELD,MA,"GREENFIELD,MA",FRCOG,0,,2710.15266225,322549.381556,124.41806175268079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209030,5148,5109,E,VERNON,VT,"VERNON,VT",,0,,2960.07572766,407575.184516,136.26934822475138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
